DetectionTime,SensorID,trackingID,objectType,Latitude,Longitude,Speed,Heading
2024-11-21 15:.919,0102040204,2116,1,36.340035400000,124.776925200000,88,207
2024-11-21 15:.941,0102040204,2116,1,36.340028700000,124.776921700000,92,207
2024-11-21 15:.985,0102040204,2116,1,36.340021000000,124.776917600000,75,208
2024-11-21 15:.058,0102040204,2116,1,36.340013800000,124.776913800000,42,207
2024-11-21 15:.091,0102040204,2116,1,36.340005400000,124.776909400000,100,207
2024-11-21 15:.127,0102040204,2116,1,36.339997000000,124.776905000000,100,207
2024-11-21 15:.164,0102040204,2116,1,36.339988900000,124.776900800000,94,207
2024-11-21 15:.247,0102040204,2116,1,36.339981100000,124.776896700000,41,207
2024-11-21 15:.290,0102040204,2116,1,36.339973600000,124.776892700000,76,208
2024-11-21 15:.363,0102040204,2116,1,36.339966400000,124.776888800000,43,208
2024-11-21 15:.411,0102040204,2116,1,36.339959800000,124.776885200000,60,208
2024-11-21 15:.417,0102040204,2116,1,36.339953600000,124.776881800000,100,208
2024-11-21 15:.424,0102040204,2116,1,36.339946600000,124.776878000000,100,208
2024-11-21 15:.491,0102040204,2116,1,36.339939600000,124.776874200000,46,208
2024-11-21 15:.586,0102040204,2116,1,36.339932400000,124.776870300000,32,208
2024-11-21 15:.624,0102040204,2116,1,36.339925700000,124.776866600000,77,208
2024-11-21 15:.708,0102040204,2116,1,36.339919500000,124.776863200000,36,208
2024-11-21 15:.790,0102040204,2116,1,36.339912700000,124.776859300000,32,209
2024-11-21 15:.800,0102040204,2116,1,36.339906400000,124.776855700000,100,209
2024-11-21 15:.833,0102040204,2116,1,36.339899800000,124.776852000000,90,209
2024-11-21 15:.954,0102040204,2116,1,36.339893100000,124.776848200000,24,209
2024-11-21 15:.025,0102040204,2116,1,36.339886300000,124.776844200000,42,210
2024-11-21 15:.078,0102040204,2116,1,36.339879000000,124.776840100000,74,209
2024-11-21 15:.109,0102040204,2116,1,36.339871900000,124.776836100000,97,209
2024-11-21 15:.141,0102040204,2116,1,36.339865300000,124.776832300000,70,209
2024-11-21 15:.222,0102040204,2116,1,36.339858600000,124.776828400000,36,210
2024-11-21 15:.260,0102040204,2116,1,36.339851800000,124.776824500000,78,209
2024-11-21 15:.309,0102040204,2116,1,36.339845200000,124.776820600000,74,210
2024-11-21 15:.341,0102040204,2116,1,36.339838800000,124.776816900000,67,210
2024-11-21 15:.373,0102040204,2116,1,36.339833100000,124.776813400000,80,211
2024-11-21 15:.518,0102040204,2116,1,36.339826700000,124.776809700000,20,210
2024-11-21 15:.513,0102040204,2116,1,36.339820500000,124.776806100000,100,210
2024-11-21 15:.522,0102040204,2116,1,36.339814400000,124.776802500000,100,210
2024-11-21 15:.548,0102040204,2116,1,36.339808800000,124.776799200000,97,210
