ymd,hms, Latitude, Longitude
2024-11-26,12:27:51.794,37.2405470,126.7740252
2024-11-26,12:27:52.809,37.2405470,126.7740252
2024-11-26,12:27:53.810,37.2405470,126.7740252
2024-11-26,12:27:54.795,37.2405470,126.7740252
2024-11-26,12:27:55.844,37.2405470,126.7740252
2024-11-26,12:27:56.797,37.2405470,126.7740252
2024-11-26,12:27:57.813,37.2405470,126.7740252
2024-11-26,12:27:58.797,37.2405470,126.7740252
2024-11-26,12:27:59.814,37.2405470,126.7740252
2024-11-26,12:28:00.814,37.2405470,126.7740252
2024-11-26,12:28:01.799,37.2405517,126.7740283
2024-11-26,12:28:02.799,37.2405680,126.7740393
2024-11-26,12:28:03.815,37.2405950,126.7740575
2024-11-26,12:28:04.848,37.2406260,126.7740783
2024-11-26,12:28:05.833,37.2406547,126.7740973
2024-11-26,12:28:06.802,37.2406720,126.7741087
2024-11-26,12:28:07.786,37.2406745,126.7741103
2024-11-26,12:28:08.803,37.2406745,126.7741103
2024-11-26,12:28:09.788,37.2406745,126.7741103
2024-11-26,12:28:10.804,37.2406745,126.7741103
2024-11-26,12:28:11.851,37.2406745,126.7741103
2024-11-26,12:28:12.804,37.2406743,126.7741103
2024-11-26,12:28:13.820,37.2406743,126.7741103
2024-11-26,12:28:14.805,37.2406743,126.7741103
2024-11-26,12:28:15.806,37.2406745,126.7741103
2024-11-26,12:28:16.791,37.2406743,126.7741103
2024-11-26,12:28:17.807,37.2406743,126.7741102
2024-11-26,12:28:18.792,37.2406743,126.7741103
2024-11-26,12:28:19.809,37.2406745,126.7741102
2024-11-26,12:28:20.825,37.2406745,126.7741102
2024-11-26,12:28:21.825,37.2406745,126.7741102
2024-11-26,12:28:22.810,37.2406743,126.7741102
2024-11-26,12:28:23.826,37.2406757,126.7741113
2024-11-26,12:28:24.811,37.2406853,126.7741177
2024-11-26,12:28:25.797,37.2407063,126.7741315
2024-11-26,12:28:26.812,37.2407345,126.7741498
2024-11-26,12:28:27.813,37.2407635,126.7741685
2024-11-26,12:28:28.798,37.2407835,126.7741813
2024-11-26,12:28:29.814,37.2407873,126.7741837
2024-11-26,12:28:30.813,37.2407873,126.7741837
2024-11-26,12:28:31.814,37.2407872,126.7741837
2024-11-26,12:28:32.799,37.2407872,126.7741838
2024-11-26,12:28:33.816,37.2407872,126.7741838
2024-11-26,12:28:34.800,37.2407872,126.7741837
2024-11-26,12:28:35.816,37.2407872,126.7741837
2024-11-26,12:28:36.865,37.2407872,126.7741837
2024-11-26,12:28:37.786,37.2407872,126.7741837
2024-11-26,12:28:38.819,37.2407873,126.7741837
2024-11-26,12:28:39.819,37.2407873,126.7741837
2024-11-26,12:28:40.804,37.2407873,126.7741837
2024-11-26,12:28:41.850,37.2407872,126.7741837
2024-11-26,12:28:42.835,37.2407872,126.7741838
2024-11-26,12:28:43.788,37.2407875,126.7741838
2024-11-26,12:28:44.820,37.2407937,126.7741878
2024-11-26,12:28:45.851,37.2408137,126.7742008
2024-11-26,12:28:46.851,37.2408428,126.7742193
2024-11-26,12:28:47.837,37.2408742,126.7742385
2024-11-26,12:28:48.790,37.2408990,126.7742533
2024-11-26,12:28:49.806,37.2409082,126.7742588
2024-11-26,12:28:50.791,37.2409083,126.7742588
2024-11-26,12:28:51.807,37.2409083,126.7742588
2024-11-26,12:28:52.791,37.2409083,126.7742588
2024-11-26,12:28:53.792,37.2409083,126.7742588
2024-11-26,12:28:54.808,37.2409083,126.7742588
2024-11-26,12:28:55.794,37.2409083,126.7742588
2024-11-26,12:28:56.810,37.2409083,126.7742588
2024-11-26,12:28:57.826,37.2409083,126.7742588
2024-11-26,12:28:58.810,37.2409083,126.7742588
2024-11-26,12:28:59.795,37.2409083,126.7742590
2024-11-26,12:29:00.795,37.2409083,126.7742588
2024-11-26,12:29:01.811,37.2409083,126.7742588
2024-11-26,12:29:02.796,37.2409083,126.7742588
2024-11-26,12:29:03.875,37.2409083,126.7742588
2024-11-26,12:29:04.796,37.2409128,126.7742615
2024-11-26,12:29:05.797,37.2409303,126.7742720
2024-11-26,12:29:06.813,37.2409600,126.7742892
2024-11-26,12:29:07.797,37.2409965,126.7743095
2024-11-26,12:29:08.814,37.2410337,126.7743292
2024-11-26,12:29:09.799,37.2410638,126.7743445
2024-11-26,12:29:10.784,37.2410782,126.7743517
2024-11-26,12:29:11.799,37.2410793,126.7743522
2024-11-26,12:29:12.877,37.2410793,126.7743523
2024-11-26,12:29:13.800,37.2410793,126.7743523
2024-11-26,12:29:14.817,37.2410793,126.7743523
2024-11-26,12:29:15.801,37.2410793,126.7743523
2024-11-26,12:29:16.817,37.2410793,126.7743523
2024-11-26,12:29:17.801,37.2410793,126.7743523
2024-11-26,12:29:18.801,37.2410793,126.7743523
2024-11-26,12:29:19.802,37.2410793,126.7743523
2024-11-26,12:29:20.803,37.2410793,126.7743523
2024-11-26,12:29:21.804,37.2410793,126.7743523
2024-11-26,12:29:22.819,37.2410793,126.7743522
2024-11-26,12:29:23.805,37.2410793,126.7743522
2024-11-26,12:29:24.791,37.2410798,126.7743525
2024-11-26,12:29:25.807,37.2410872,126.7743562
2024-11-26,12:29:26.822,37.2411102,126.7743673
2024-11-26,12:29:27.823,37.2411457,126.7743840
2024-11-26,12:29:28.793,37.2411862,126.7744018
2024-11-26,12:29:29.824,37.2412220,126.7744163
2024-11-26,12:29:30.793,37.2412438,126.7744248
2024-11-26,12:29:31.809,37.2412478,126.7744263
2024-11-26,12:29:32.856,37.2412477,126.7744263
2024-11-26,12:29:33.810,37.2412477,126.7744263
2024-11-26,12:29:34.810,37.2412477,126.7744263
2024-11-26,12:29:35.810,37.2412477,126.7744263
2024-11-26,12:29:36.795,37.2412477,126.7744265
2024-11-26,12:29:37.810,37.2412477,126.7744265
2024-11-26,12:29:38.796,37.2412477,126.7744263
2024-11-26,12:29:39.796,37.2412477,126.7744263
2024-11-26,12:29:40.812,37.2412477,126.7744263
2024-11-26,12:29:41.812,37.2412477,126.7744263
2024-11-26,12:29:42.813,37.2412477,126.7744263
2024-11-26,12:29:43.798,37.2412477,126.7744265
2024-11-26,12:29:44.799,37.2412477,126.7744263
2024-11-26,12:29:45.799,37.2412477,126.7744263
2024-11-26,12:29:46.783,37.2412477,126.7744263
2024-11-26,12:29:47.800,37.2412477,126.7744263
2024-11-26,12:29:48.832,37.2412477,126.7744263
2024-11-26,12:29:49.801,37.2412485,126.7744267
2024-11-26,12:29:50.817,37.2412548,126.7744292
2024-11-26,12:29:51.802,37.2412717,126.7744353
2024-11-26,12:29:52.787,37.2412988,126.7744460
2024-11-26,12:29:53.818,37.2413362,126.7744638
2024-11-26,12:29:54.803,37.2413772,126.7744865
2024-11-26,12:29:55.788,37.2414190,126.7745072
2024-11-26,12:29:56.804,37.2414615,126.7745200
2024-11-26,12:29:57.804,37.2415025,126.7745252
2024-11-26,12:29:58.805,37.2415377,126.7745188
2024-11-26,12:29:59.821,37.2415633,126.7744977
2024-11-26,12:30:00.789,37.2415753,126.7744652
2024-11-26,12:30:01.821,37.2415718,126.7744310
2024-11-26,12:30:02.806,37.2415523,126.7744037
2024-11-26,12:30:03.805,37.2415197,126.7743943
2024-11-26,12:30:04.853,37.2414768,126.7743958
2024-11-26,12:30:05.790,37.2414270,126.7743923
2024-11-26,12:30:06.791,37.2413727,126.7743815
2024-11-26,12:30:07.806,37.2413225,126.7743673
2024-11-26,12:30:08.822,37.2412888,126.7743555
2024-11-26,12:30:09.792,37.2412747,126.7743502
2024-11-26,12:30:10.808,37.2412740,126.7743498
2024-11-26,12:30:11.808,37.2412740,126.7743498
2024-11-26,12:30:12.808,37.2412740,126.7743498
2024-11-26,12:30:13.809,37.2412740,126.7743498
2024-11-26,12:30:14.794,37.2412740,126.7743498
2024-11-26,12:30:15.825,37.2412740,126.7743498
2024-11-26,12:30:16.795,37.2412740,126.7743498
2024-11-26,12:30:17.812,37.2412740,126.7743498
2024-11-26,12:30:18.796,37.2412742,126.7743498
2024-11-26,12:30:19.813,37.2412740,126.7743498
2024-11-26,12:30:20.798,37.2412740,126.7743498
2024-11-26,12:30:21.798,37.2412740,126.7743498
2024-11-26,12:30:22.798,37.2412740,126.7743498
2024-11-26,12:30:23.814,37.2412725,126.7743493
2024-11-26,12:30:24.800,37.2412597,126.7743445
2024-11-26,12:30:25.800,37.2412323,126.7743335
2024-11-26,12:30:26.816,37.2411988,126.7743188
2024-11-26,12:30:27.816,37.2411675,126.7743045
2024-11-26,12:30:28.817,37.2411447,126.7742938
2024-11-26,12:30:29.818,37.2411363,126.7742900
2024-11-26,12:30:30.802,37.2411363,126.7742900
2024-11-26,12:30:31.787,37.2411363,126.7742900
2024-11-26,12:30:32.803,37.2411363,126.7742900
2024-11-26,12:30:33.819,37.2411363,126.7742898
2024-11-26,12:30:34.820,37.2411363,126.7742898
2024-11-26,12:30:35.789,37.2411363,126.7742898
2024-11-26,12:30:36.805,37.2411363,126.7742900
2024-11-26,12:30:37.805,37.2411363,126.7742900
2024-11-26,12:30:38.883,37.2411363,126.7742900
2024-11-26,12:30:39.806,37.2411363,126.7742900
2024-11-26,12:30:40.806,37.2411363,126.7742898
2024-11-26,12:30:41.822,37.2411363,126.7742898
2024-11-26,12:30:42.807,37.2411312,126.7742875
2024-11-26,12:30:43.807,37.2411115,126.7742777
2024-11-26,12:30:44.808,37.2410795,126.7742620
2024-11-26,12:30:45.792,37.2410413,126.7742422
2024-11-26,12:30:46.808,37.2410048,126.7742215
2024-11-26,12:30:47.871,37.2409813,126.7742077
2024-11-26,12:30:48.793,37.2409737,126.7742032
2024-11-26,12:30:49.793,37.2409737,126.7742030
2024-11-26,12:30:50.794,37.2409737,126.7742030
2024-11-26,12:30:51.794,37.2409737,126.7742030
2024-11-26,12:30:52.795,37.2409737,126.7742030
2024-11-26,12:30:53.812,37.2409737,126.7742030
2024-11-26,12:30:54.797,37.2409737,126.7742030
2024-11-26,12:30:55.813,37.2409737,126.7742030
2024-11-26,12:30:56.797,37.2409737,126.7742030
2024-11-26,12:30:57.813,37.2409737,126.7742030
2024-11-26,12:30:58.782,37.2409737,126.7742030
2024-11-26,12:30:59.798,37.2409737,126.7742030
2024-11-26,12:31:00.814,37.2409737,126.7742030
2024-11-26,12:31:01.815,37.2409735,126.7742028
2024-11-26,12:31:02.799,37.2409673,126.7741993
2024-11-26,12:31:03.800,37.2409480,126.7741880
2024-11-26,12:31:04.784,37.2409195,126.7741715
