SensorID,TrackingID,Start Time,End Time,Start Within Range,End Within Range,Both Within Range
102040204,3,2024-11-26 12:25:21,2024-11-26 12:26:12,True,True,True
102040204,4,2024-11-26 12:26:31,2024-11-26 12:26:34,True,True,True
102040204,5,2024-11-26 12:26:37,2024-11-26 12:26:39,True,True,True
102040204,6,2024-11-26 12:26:39,2024-11-26 12:27:05,True,True,True
102040204,9,2024-11-26 12:28:03,2024-11-26 12:28:53,True,True,True
102040204,10,2024-11-26 12:27:21,2024-11-26 12:27:23,True,True,True
102040204,11,2024-11-26 12:27:26,2024-11-26 12:27:28,True,True,True
102040204,13,2024-11-26 12:28:10,2024-11-26 12:28:12,True,True,True
102040204,14,2024-11-26 12:28:18,2024-11-26 12:28:22,True,True,True
102040204,15,2024-11-26 12:28:18,2024-11-26 12:28:20,True,True,True
102040204,17,2024-11-26 12:28:54,2024-11-26 12:28:55,True,True,True
102040204,18,2024-11-26 12:28:58,2024-11-26 12:28:59,True,True,True
102040204,19,2024-11-26 12:29:11,2024-11-26 12:29:28,True,True,True
102040204,20,2024-11-26 12:29:28,2024-11-26 12:29:37,True,True,True
102040204,21,2024-11-26 12:29:36,2024-11-26 12:29:37,True,True,True
102040204,22,2024-11-26 12:29:37,2024-11-26 12:29:37,True,True,True
102040204,23,2024-11-26 12:29:41,2024-11-26 12:29:45,True,True,True
102040204,24,2024-11-26 12:29:46,2024-11-26 12:29:49,True,True,True
102040204,27,2024-11-26 12:30:06,2024-11-26 12:30:08,True,True,True
102040204,28,2024-11-26 12:30:09,2024-11-26 12:31:28,True,True,True
102040204,29,2024-11-26 12:30:10,2024-11-26 12:30:12,True,True,True
102040204,30,2024-11-26 12:31:03,2024-11-26 12:31:04,True,True,True
102040204,31,2024-11-26 12:31:04,2024-11-26 12:31:04,True,True,True
102040204,32,2024-11-26 12:31:06,2024-11-26 12:31:08,True,True,True
102040204,33,2024-11-26 12:31:09,2024-11-26 12:31:09,True,True,True
102040204,36,2024-11-26 12:31:32,2024-11-26 12:31:35,True,True,True
102040204,37,2024-11-26 12:31:37,2024-11-26 12:31:43,True,True,True
102040204,38,2024-11-26 12:31:45,2024-11-26 12:32:24,True,True,True
102040204,39,2024-11-26 12:31:51,2024-11-26 12:32:06,True,True,True
102040204,40,2024-11-26 12:32:33,2024-11-26 12:32:38,True,True,True
102040204,42,2024-11-26 12:32:43,2024-11-26 12:32:45,True,True,True
102040204,43,2024-11-26 12:32:48,2024-11-26 12:32:52,True,True,True
102040204,44,2024-11-26 12:32:47,2024-11-26 12:33:13,True,True,True
102040204,45,2024-11-26 12:32:54,2024-11-26 12:32:56,True,True,True
102040204,46,2024-11-26 12:32:54,2024-11-26 12:32:56,True,True,True
102040204,48,2024-11-26 12:32:59,2024-11-26 12:33:01,True,True,True
102040204,49,2024-11-26 12:33:05,2024-11-26 12:33:05,True,True,True
102040204,50,2024-11-26 12:33:30,2024-11-26 12:34:11,True,True,True
102040204,52,2024-11-26 12:34:14,2024-11-26 12:34:33,True,True,True
102040204,53,2024-11-26 12:35:13,2024-11-26 12:36:16,True,True,True
102040204,56,2024-11-26 12:36:54,2024-11-26 12:37:56,True,True,True
102040204,57,2024-11-26 12:38:15,2024-11-26 12:38:20,True,True,True
